_fivetran_id,customer_id,date,_fivetran_synced,account_descriptive_name,campaign_name,campaign_id,campaign_status,ad_group_id,ad_group_name,ad_group_status,clicks,criteria_id,external_customer_id,gcl_id
286b8621-e79f-48e2-a710-1585c258f91c,35701-04-25,2020-01-01,2020-10-03 9:22:37,Groceries-R-Us,1003,excess inventory,enabled,oreos,2484,enabled,47,56784,12345678,1C8yN7jHPGWztUdm2mwh5LStHogZzFKX2X
a0046ca3-0ff2-4edc-9f9d-814c8f531038,35701-04-25,2020-01-01,2020-10-10 9:52:33,Groceries-R-Us,1002,organic,enabled,broccoli,2482,paused,137,56786,12345678,1H63he5nMwwWpiT3VkQHorSbMwBW4MDrre
8071adfe-ac26-4d4b-8c5c-65bb4d7b2522,35701-04-25,2020-01-01,2020-10-02 16:09:21,Groceries-R-Us,1001,local,enabled,eggs,2478,enabled,75,56786,12345678,12fZ1tS5isNTAQuvuz4n5rXahgNzZ6kvhU
d299b0dc-22bb-4c06-bb58-afec0251eafd,35701-04-25,2020-01-01,2020-10-20 4:34:00,Groceries-R-Us,1003,excess inventory,enabled,oreos,2484,paused,12,56786,12345678,1L9YhwJ2VX6tg3SrbwwmczCzvni1xSmLTD
b22a84bf-af62-4424-8767-5deb05078bc2,35701-04-25,2020-01-01,2020-10-08 17:34:37,Groceries-R-Us,1001,local,enabled,cheese,2479,enabled,126,56786,12345678,16U5bvcqfTeSh2P7bqxqimupY1s776ieRZ
5684dc5a-9405-4289-8432-48a8aebd03c1,35701-04-25,2020-01-01,2020-10-05 10:00:47,Groceries-R-Us,1003,excess inventory,enabled,cranberry sauce,2487,enabled,40,56786,12345678,1BYDnMPXfJszxY5y9r1nEs9Gto4yFGRogf
db890c07-a3e8-402a-8b0c-0d8dfa47b563,35701-04-25,2020-01-02,2020-10-08 15:38:54,Groceries-R-Us,1001,local,enabled,sweet potatoes,2480,enabled,6,56786,12345678,178isCnzjLQMPiaEQ6ANZ9wPimNQVXZFTe
35360217-c4a2-4427-8b5a-df1fda033801,35701-04-25,2020-01-02,2020-10-24 7:29:51,Groceries-R-Us,1004,holiday promotion,enabled,turkey,2485,enabled,100,56782,12345678,1AF94cbnM1VNPgV3c6xRZf1vuK2DvyVyv9
781dd715-28d6-4660-a6d6-feae60339d07,35701-04-25,2020-01-02,2020-10-12 12:52:39,Groceries-R-Us,1001,local,enabled,eggs,2478,enabled,70,56784,12345678,151FHXFtckayKRNyDSzkWXR1CAcdDXBrhC
50e493ea-026d-48bf-847f-aa5358b9cb8f,35701-04-25,2020-01-02,2020-10-19 9:24:32,Groceries-R-Us,1002,organic,enabled,broccoli,2482,enabled,11,56786,12345678,18gqJryHTnqMpdmhPnwhJuVrDg5WcvyisU
0c92bf96-7e6a-493d-883a-1a4954a87d7f,35701-04-25,2020-01-02,2020-10-06 18:09:28,Groceries-R-Us,1001,local,enabled,eggs,2478,enabled,105,56786,12345678,1AMXxRs3ncJnhbofB2VT5UDPw2LtXkpXCc
507f4ca8-48e0-4246-ac5c-6a9baa40ea09,35701-04-25,2020-01-02,2020-10-10 13:30:12,Groceries-R-Us,1001,local,enabled,sweet potatoes,2480,paused,121,56784,12345678,1QC4PooeUtaGjb3fdKj2BwU8UmABifECEr
85cb76a3-fe6e-4c6b-bddb-1e956bfb027d,35701-04-25,2020-01-02,2020-10-13 20:23:53,Groceries-R-Us,1001,local,enabled,eggs,2478,paused,121,56784,12345678,15kCggc88zuJ2dkeS848SMo1ZMsGF6oVfQ
fdf371f8-89ba-4ea7-a76b-f0008a1c0d74,35701-04-25,2020-01-03,2020-10-25 0:04:00,Groceries-R-Us,1001,local,enabled,eggs,2478,enabled,6,56786,12345678,13nbSDUePGLEzMsJmK2JE25VpBoiun6aTg
58269744-1e87-45cd-ad16-1ea8546c4eae,35701-04-25,2020-01-03,2020-10-23 9:55:22,Groceries-R-Us,1002,organic,enabled,broccoli,2482,enabled,96,56786,12345678,1DR23iUY9S6VoRtufZdpgenupzKMoogRgN
dfd8f3cf-3739-467a-b1a1-d895c5b008f9,35701-04-25,2020-01-04,2020-10-02 14:07:15,Groceries-R-Us,1002,organic,enabled,broccoli,2482,enabled,27,56786,12345678,1LGkGmFjYK6ULwieyeYnZnUQvoYEY85bv5
27953c1a-05a1-49a0-989f-eb793a5f2b6e,35701-04-25,2020-01-04,2020-10-08 6:45:15,Groceries-R-Us,1001,local,enabled,cheese,2479,enabled,22,56786,12345678,13pJFfgoGMvB594wC11XhG47n2if9F9M9V
