_fivetran_id,customer_id,date,_fivetran_synced,account_descriptive_name,campaign_id,campaign_name,campaign_status,ad_group_id,ad_group_name,ad_group_status,clicks,cost,criteria,criteria_type,external_customer_id,id,impressions,criteria_destination_url,final_url_suffix,final_urls
6a7b322b-1090-49ca-a933-7bee2ba6d470,12345678,2020-05-04,2020-10-07 21:37:39,Groceries-R-Us,1001,local,enabled,2480,sweet potatoes,enabled,11,$18.18,local produce,Keyword,12345678,56786,14,3,,
02f82759-4cb1-421d-885a-6417a6d9490d,12345678,2020-07-17,2020-10-23 13:26:04,Groceries-R-Us,1001,local,enabled,2478,eggs,enabled,10,$19.11,farmers market,Keyword,12345678,56784,14,4,,
e0a7fe18-c3e3-4163-9aa1-9601e254d610,12345678,2020-06-17,2020-10-05 6:08:57,Groceries-R-Us,1001,local,enabled,2480,sweet potatoes,enabled,13,$0.45,local produce,Keyword,12345678,56786,19,6,,
e2fc1122-0462-490e-9354-72eb90cba7c2,12345678,2020-04-22,2020-10-18 0:35:06,Groceries-R-Us,1001,local,enabled,2478,eggs,enabled,5,$12.35,farmers market,Keyword,12345678,56786,11,6,,
00189f74-ed9e-4ec2-bd99-14632552e364,12345678,2020-06-24,2020-10-24 7:05:27,Groceries-R-Us,1003,excess inventory,enabled,2487,cranberry sauce,enabled,189,$4.00,thanksgiving_ideas,Keyword,12345678,56784,196,7,,
b813ad01-b0f8-468e-90b8-13b4e4ba48c3,12345678,2020-10-07,2020-10-09 18:55:44,Groceries-R-Us,1002,organic,enabled,2481,brussels sprouts,enabled,142,$4.49,Top 10%,Household income,12345678,56782,149,7,,
a3c009ea-9819-4037-b2c5-04e86b443e87,12345678,2020-10-08,2020-10-22 12:32:43,Groceries-R-Us,1002,organic,enabled,2488,tomatoes,enabled,97,$8.84,Top 10%,Household income,12345678,56784,106,9,,
1a0aa2b0-3c14-4138-a9cd-694ee43e49bd,12345678,2020-10-07,2020-10-11 21:00:26,Groceries-R-Us,1002,organic,paused,2482,broccoli,enabled,1,$14.77,Top 10%,Household income,12345678,56785,10,9,,
62ab00de-fa2a-4c85-8f5a-b93365f01829,12345678,2020-06-01,2020-10-11 2:08:12,Groceries-R-Us,1004,holiday promotion,enabled,2486,apple pie,enabled,80,$2.54,thanksgiving ideas,Keyword,12345678,56785,92,12,,
0c29e50e-91f4-4b46-9eda-657992a1aafe,12345678,2020-09-20,2020-10-18 16:12:07,Groceries-R-Us,1001,local,enabled,2478,eggs,enabled,1,$12.57,local produce,Keyword,12345678,56786,13,12,,
